ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
23,Fritz Aanes,M,26,187,89,Norway,NOR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",NA
49,Moonika Aava,F,24,168,65,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,NA
72,Aleksey Aleksandrovich Abalmasov,M,24,180,83,Belarus,BLR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA
75,Giorgos Abalof,M,22,178,70,Greece,GRE,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",NA
81,Georgios Abaris,M,22,190,77,Greece,GRE,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
84,Stephen Anthony Abas,M,26,165,55,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
90,Tamila Rashidovna Abasova,F,21,163,60,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
90,Tamila Rashidovna Abasova,F,21,163,60,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's 500 metres Time Trial,NA
93,Jol Marc Abati,M,34,190,85,France,FRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,NA
95,Georgia Abatzidou,F,35,155,43,Greece,GRE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,NA
96,Carlos Rodolfo Abaunza Balladares,M,18,168,60,Nicaragua,NCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
113,Bassim Abbas Kati Al-Ogaili,M,22,175,80,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
120,Mohammed Abbas Sabih,M,26,170,70,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,NA
122,Nader Sufyan Abbas,M,28,173,77,Qatar,QAT,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,NA
123,Sohail Abbas,M,29,178,80,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,NA
127,Shakeel Abbasi,M,20,165,60,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,NA
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,26,185,98,Egypt,EGY,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",NA
157,Mohamed Ibrahim Abd El-Salam,M,22,192,83,Egypt,EGY,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,NA
165,Nia Nicole Abdallah,F,20,175,56,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
180,Heba Abdel Gawad,F,22,154,48,Egypt,EGY,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
184,Ragy Abdel Hady,M,30,186,100,Egypt,EGY,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,NA
201,Karim Abdel Mohsen,M,25,188,92,Egypt,EGY,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,NA
215,Ibrahim Ahmed Abdel Rehim,M,21,190,83,Egypt,EGY,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Team",NA
225,Shaimaa Abdel-Latif-Hashad,F,23,165,57,Egypt,EGY,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
238,Mohamed Abdellah,M,36,170,70,Egypt,EGY,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",NA
256,"Abdihakim ""Abdi"" Abdirahman",M,27,178,61,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 10,000 metres",NA
257,Ali Abdo,M,23,169,74,Australia,AUS,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
266,Raouf Abdou,M,22,165,60,Egypt,EGY,2004 Summer,2004,Summer,Athina,Modern Pentathlon,Modern Pentathlon Men's Individual,NA
310,Patmawati Abdul Wahid,F,32,158,58,Indonesia,INA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,NA
311,Haidar Abdul-Amir Hassan,M,21,185,80,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
312,Haidar Abdul-Razzaq Hassan,M,22,175,75,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
323,Aquil Hashim Abdullah (Shumate-),M,31,187,83,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,NA
339,Namiq Yadulla Abdullayev,M,33,167,55,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",NA
352,Sherzod Abdurahmonov,M,22,178,73,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,NA
357,Yusup Abdusalomov,M,26,170,84,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
361,Aybek Abdymomunov,M,18,162,54,Kyrgyzstan,KGZ,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
377,Yuki Abe,M,22,177,75,Japan,JPN,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
387,Sonia Abejn Esteban,F,19,169,48,Spain,ESP,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,NA
397,Mara Abel Diguez,F,29,163,46,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,NA
428,Elvan Abeylegesse,F,21,159,40,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 1,500 metres",NA
428,Elvan Abeylegesse,F,21,159,40,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",NA
450,Ceyhun Abiyev,M,29,163,48,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,NA
488,Ibrahim Mohamedin Aboubaker,M,21,190,65,Qatar,QAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,NA
498,El-Sayed Aboumedan,M,26,178,81,Egypt,EGY,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,NA
500,Sdonoud Janvier Abouta,M,23,NA,NA,Mali,MLI,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
514,Ara Abrahamian,M,29,191,84,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
543,Pavel Sergeyevich Abramov,M,25,198,89,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
565,Glauclio Serro Abreu,M,26,185,75,Brazil,BRA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,NA
583,Julien Absalon,M,23,180,68,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
591,Abdul Wahab Abu Al-Hail Labid,M,27,180,79,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA
598,Omar Abu-Fares,M,19,178,69,Jordan,JOR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,NA
600,Nagmeldin Ali Abubakr,M,18,172,63,Sudan,SUD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,NA
601,Sanna Abubkheet,F,19,157,52,Palestine,PLE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,NA
607,Hamza Abughalia,M,23,NA,85,Libya,LBA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
609,Fartun Abukar Omar,F,18,170,58,Somalia,SOM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,NA
616,Shigeru Aburaya,M,27,163,51,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,NA
617,Cristobal Alejandro Aburto Tinoco,M,28,161,60,Mexico,MEX,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,NA
621,Anas Sameer N. H. Abuyousuf,M,14,181,77,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,NA
663,Sharath Kamal Achanta,M,22,186,85,India,IND,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,NA
700,"Nathaniel Leedom ""Nate"" Ackerman",M,26,173,74,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,29,188,66,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's High Jump,NA
749,Miho Adachi,F,25,165,58,Japan,JPN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",NA
755,Ali Enver Adakan,M,27,186,100,Turkey,TUR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,NA
756,Adalberto Pereira da Silva,M,25,189,105,Brazil,BRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,NA
780,Tony Adam,M,18,169,61,Germany,GER,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,NA
824,Luke Kendall Adams,M,27,189,70,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA
846,Valerie Kasanita Adams-Vili (-Price),F,19,193,120,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,NA
847,Morten Gundro Adamsen,M,22,181,84,Norway,NOR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,NA
868,"Frances ""Fran"" Adcock",F,20,178,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,NA
1001,Svajnas Adomaitis,M,19,175,55,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",NA
1022,Sharnol Leonard Adriana,M,33,185,95,Netherlands,NED,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,NA
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,25,170,65,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,NA
1024,Elisngela Maria Adriano,F,32,180,96,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,NA
1024,Elisngela Maria Adriano,F,32,180,96,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
1032,Serhiy Mykolaiovych Advena,M,20,190,82,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
1032,Serhiy Mykolaiovych Advena,M,20,190,82,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,NA
1075,Abel Aferalign,M,20,169,54,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
1097,Georgios Afroudakis,M,27,194,103,Greece,GRE,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,NA
1098,Khristos Afroudakis,M,20,188,88,Greece,GRE,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,NA
1110,Aleksandr Agafonov,M,29,190,86,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,NA
1114,Luca Agamennoni,M,24,187,93,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
1125,Rstm Aayev,M,22,186,96,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NA
1132,Agberto Correa de Matos,M,32,193,97,Brazil,BRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,NA
1152,Khoudir Aggoune,M,23,175,66,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",NA
1158,Mamed Aghaev,M,28,177,84,Armenia,ARM,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
1164,Naroa Agirre Kamio,F,25,177,63,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Pole Vault,NA
1167,Neil Agius,M,18,168,65,Malta,MLT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,NA
1203,Renzo Pasquale Zeglio Agresta,M,19,181,76,Brazil,BRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",NA
1239,Eduardo Aguilar Estrada,M,27,173,71,Spain,ESP,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,NA
1240,"Elisabeth ""Elisa"" Aguilar Lpez",F,27,172,75,Spain,ESP,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,NA
1251,Karel Aguilar Chacn,M,24,175,85,Cuba,CUB,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",NA
1258,Michael Aguilar,M,24,178,77,Belize,BIZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
1273,Lua del Mar Aguili Ribera,F,22,170,67,Puerto Rico,PUR,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
1278,Damaris Gabriela Aguirre Aldaz,F,27,163,75,Mexico,MEX,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Heavyweight,NA
1313,Robyn Mokihana Ah Mow-Santos,F,28,172,67,United States,USA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,NA
1317,Younes Al-Ahamdi,M,28,167,60,Morocco,MAR,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,NA
1356,Christian Ahlmann,M,29,189,80,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",NA
1356,Christian Ahlmann,M,29,189,80,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1375,Waseem Ahmad,M,27,165,64,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,NA
1385,Adnan Ahmed,M,26,174,70,Egypt,EGY,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,NA
1401,Mahmoud Ahmed,M,28,184,82,Egypt,EGY,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,NA
1407,Mumtaz Ahmed,M,34,178,79,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,NA
1418,Sohail Ahmed,M,25,174,57,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Featherweight,NA
1433,Juha Matti Ahokas,M,34,189,116,Finland,FIN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",NA
1444,"Christian ""Chris"" Ahrens",M,28,195,97,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
